name,city,region,latitude,longitude,status,year_acquired,local_website,description
Däckpoint i Mölndal,Mölndal,Västra Götaland,57.6557,12.0138,acquired,2025,https://dackpoint.se,Full-service tire workshop. AutoCap's founding acquisition.
Tumba Gummiverkstad (Däckgruppen Tumba),Tumba,Stockholm,59.1989,17.8319,acquired,2025,https://dackpartner.se/botkyrka/tumba-gummiverkstad,Established tire service centre south of Stockholm. Now operating under the Däckgruppen brand.
Verksta'n i Öxnered,Öxnered,Västra Götaland,58.3748,12.3221,acquired,2025,https://verkstanioxnered.se,Tire and auto service workshop near Vänersborg. Strategically located along key transport routes.
Däckgruppen Bromma,Bromma,Stockholm,59.3477,17.9396,acquired,2026,https://dackgruppen.se/bromma,Part of the Svenska Däckgruppen acquisition. Located at Ulvsundavägen 154.
Däckgruppen Brunna,Kungsängen,Stockholm,59.4819,17.7441,acquired,2026,https://dackgruppen.se/brunna,Part of the Svenska Däckgruppen acquisition. Located at Energivägen 13.
Däckgruppen Sollentuna,Sollentuna,Stockholm,59.4342,17.9470,acquired,2026,https://dackgruppen.se/sollentuna,Part of the Svenska Däckgruppen acquisition. Located at Bisslingevägen 4.
Däckgruppen Solna,Solna,Stockholm,59.3653,18.0050,acquired,2026,https://dackgruppen.se/solna,Part of the Svenska Däckgruppen acquisition. Located at Gårdsvägen 4.
Däckgruppen Tyresö,Tyresö,Stockholm,59.2445,18.2267,acquired,2026,https://dackgruppen.se/tyreso,Part of the Svenska Däckgruppen acquisition. Located at Energivägen 3.
Däckgruppen Täby,Täby,Stockholm,59.4436,18.0688,acquired,2026,https://dackgruppen.se/taby,Part of the Svenska Däckgruppen acquisition. Located at Enhagsvägen 11.
Däckgruppen Vasastan,Stockholm,Stockholm,59.3459,18.0530,acquired,2026,https://dackgruppen.se/vasastan,Part of the Svenska Däckgruppen acquisition. Located at Surbrunnsgatan 50.
Mölndals Däckservice,Mölndal,Västra Götaland,57.6557,12.0138,acquired,2026,https://molndalsdackservice.se,Tire service specialist at Kråketorpsgatan 16. Co-located with Mölndals Bilverkstad.
Mölndals Bilverkstad (Mekonomen),Mölndal,Västra Götaland,57.6557,12.0138,acquired,2026,https://mekonomen.se/butik-bilverkstad/molndal/kraketorpsgatan,General vehicle service under the Mekonomen brand. Co-located with Mölndals Däckservice.
